product_id,product_number,name,gender_category,size_gender,price_group,price_krw,base_price_krw,promo_price_krw,price_flags,available_sizes_count,availability_status,availability_label,rating_average,rating_count,image_url,detail_url,sales,store_stock_only
E484849-000,,옥스포드박시셔츠(반팔),WOMEN,WOMEN,00,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/06/18부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",6,available,판매중,4.8,17,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/484849/item/krgoods_41_484849_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E484849-000/00?colorDisplayCode=41,True,False
E484850-000,,옥스포드박시셔츠(반팔)스트라이프,WOMEN,WOMEN,00,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/06/18부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",4,available,판매중,4.5,4,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/484850/item/krgoods_52_484850_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E484850-000/00?colorDisplayCode=52,True,False
E484850-001,,옥스포드박시셔츠(반팔)스트라이프,WOMEN,WOMEN,00,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/06/18부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",5,available,판매중,5,6,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/484850001/item/krgoods_62_484850001_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E484850-001/00?colorDisplayCode=62,True,False
E484850-002,,옥스포드박시셔츠(반팔)스트라이프,WOMEN,WOMEN,00,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/06/18부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",4,available,판매중,4.7,8,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/484850002/item/krgoods_65_484850002_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E484850-002/00?colorDisplayCode=65,True,False
E484876-000,,프리미엄리넨오버사이즈셔츠(반팔),MEN,MEN,01,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}, {""code"": ""colorSizeLimitedPrice"", ""name"": ""옵션할인"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",3,available,판매중,4.5,17,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/484876/item/krgoods_00_484876_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E484876-000/01?colorDisplayCode=00,True,False
E484877-000,,데님오버셔츠(반팔),MEN,MEN,00,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/06/30부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",2,available,판매중,4.9,24,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/484877/item/krgoods_64_484877_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E484877-000/00?colorDisplayCode=64,True,False
E484924-000,,GIRLS저지미니스코츠(플라워),KIDS,KIDS,00,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",6,available,판매중,4.7,4,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/484924/item/krgoods_69_484924_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E484924-000/00?colorDisplayCode=69,True,False
E484934-000,,선글라스(앵귤러),UNISEX,MEN,00,19900,19900,19900,"[{""code"": ""discount"", ""name"": ""2026/06/30부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",1,available,판매중,4.6,3,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/484934/item/goods_09_484934_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E484934-000/00?colorDisplayCode=09,True,False
E485025-000,,포인텔라운드넥미니T,WOMEN,WOMEN,00,9900,9900,9900,"[{""code"": ""discount"", ""name"": ""2026/06/30부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",7,available,판매중,4.6,39,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485025/item/krgoods_18_485025_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485025-000/00?colorDisplayCode=18,True,False
E485033-000,,PEANUTS UT(그래픽T)B,UNISEX,MEN,00,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",1,available,판매중,3.6,3,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485033/item/krgoods_41_485033_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485033-000/00?colorDisplayCode=41,True,False
